PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Thabo Sefolosha,UTA,33,38,19,11.30%,11,25,44,48,9.50%,9,21,42.9,1.80%,2,4,50
Thaddeus Young,IND,29,57,37,12.00%,30,69,43.5,45.7,10.10%,27,58,46.6,1.90%,3,11,27.3
Thomas Bryant,LAL,20,6,1,16.70%,0,1,0,0,0.00%,0,0,-,16.70%,0,1,0
Thon Maker,MIL,20,54,6,2.70%,0,6,0,0,1.80%,0,4,0,0.90%,0,2,0
Tim Frazier,WAS,27,43,35,45.80%,20,55,36.4,41.8,31.70%,14,38,36.8,14.20%,6,17,35.3
Tim Hardaway Jr.,NYK,25,35,35,35.30%,59,167,35.3,42.5,17.10%,35,81,43.2,18.20%,24,86,27.9
Timofey Mozgov,BKN,31,24,1,1.40%,0,1,0,0,1.40%,0,1,0,0.00%,0,0,-
Timothe Luwawu-Cabarrot,PHI,22,44,11,4.60%,4,11,36.4,50,1.70%,1,4,25,2.90%,3,7,42.9
Tobias Harris,LAC,25,52,52,28.10%,88,207,42.5,48.8,20.80%,62,153,40.5,7.30%,26,54,48.1
Tomas Satoransky,WAS,26,47,31,24.40%,17,47,36.2,36.2,21.20%,17,41,41.5,3.10%,0,6,0
Tony Allen,NOP,36,22,2,2.50%,0,2,0,0,2.50%,0,2,0,0.00%,0,0,-
Tony Parker,SAS,35,30,26,37.10%,29,83,34.9,34.9,37.10%,29,83,34.9,0.00%,0,0,-
Tony Snell,MIL,26,49,23,12.40%,16,34,47.1,52.9,9.10%,12,25,48,3.30%,4,9,44.4
